Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
26,26,2018-12-06,@,BOS,L,100,128,36,91,.396,12,35,.343,16,20,.800,14,47,21,4,5,16,23,,49,92,.533,13,38,.342,17,20,.850,7,46,32,8,6,9,24,NYK
27,27,2018-12-08,,BRK,L,104,112,39,83,.470,8,26,.308,18,30,.600,9,40,22,8,2,12,18,,43,88,.489,11,22,.500,15,25,.600,12,45,27,5,5,12,25,NYK
28,28,2018-12-09,,CHO,L,107,119,44,93,.473,13,26,.500,6,7,.857,8,41,28,5,2,17,25,,42,87,.483,12,34,.353,23,27,.852,6,42,19,11,4,12,17,NYK
29,29,2018-12-12,@,CLE,L,106,113,41,94,.436,11,27,.407,13,14,.929,9,43,21,7,7,12,18,,43,91,.473,10,34,.294,17,21,.810,12,51,19,7,4,12,18,NYK
30,30,2018-12-14,@,CHO,W,126,124,47,98,.480,12,34,.353,20,31,.645,9,46,27,11,8,10,16,,48,102,.471,20,48,.417,8,10,.800,9,51,38,7,5,16,23,NYK
31,31,2018-12-16,@,IND,L,99,110,37,89,.416,10,32,.313,15,22,.682,13,44,21,7,1,15,19,,40,87,.460,12,34,.353,18,23,.783,11,45,28,9,4,13,18,NYK
32,32,2018-12-17,,PHO,L,110,128,40,99,.404,9,35,.257,21,29,.724,16,50,15,5,0,11,21,,48,92,.522,9,27,.333,23,27,.852,4,44,27,8,5,7,20,NYK
33,33,2018-12-19,@,PHI,L,109,131,37,86,.430,10,31,.323,25,31,.806,4,35,22,2,2,8,19,,47,88,.534,15,30,.500,22,25,.880,9,51,31,6,4,9,22,NYK
34,34,2018-12-21,,ATL,L,107,114,41,84,.488,8,27,.296,17,24,.708,4,35,20,8,3,12,22,,43,91,.473,10,29,.345,18,24,.750,15,54,29,4,1,16,18,NYK
35,35,2018-12-25,,MIL,L,95,109,35,97,.361,8,29,.276,17,21,.810,15,57,17,4,3,14,25,,40,89,.449,6,32,.188,23,34,.676,6,51,22,9,8,8,19,NYK
36,36,2018-12-27,@,MIL,L,96,112,36,97,.371,13,31,.419,11,16,.688,10,43,21,8,6,10,20,,42,93,.452,11,32,.344,17,21,.810,11,57,20,4,11,15,14,NYK
37,37,2018-12-29,@,UTA,L,97,129,32,86,.372,15,32,.469,18,22,.818,8,35,17,10,1,15,19,,51,93,.548,16,36,.444,11,14,.786,15,60,30,8,6,17,27,NYK
38,38,2019-01-01,@,DEN,L,108,115,42,93,.452,11,27,.407,13,18,.722,15,43,28,4,3,8,21,,44,95,.463,12,34,.353,15,23,.652,16,53,36,7,6,8,19,NYK
39,39,2019-01-04,@,LAL,W,119,112,37,99,.374,11,37,.297,34,41,.829,13,56,20,12,4,6,20,,43,98,.439,11,37,.297,15,20,.750,12,55,23,4,7,16,27,NYK
40,40,2019-01-07,@,POR,L,101,111,36,89,.404,7,23,.304,22,27,.815,14,48,18,9,2,11,19,,40,85,.471,11,31,.355,20,29,.690,12,51,25,7,5,14,21,NYK
41,41,2019-01-08,@,GSW,L,95,122,35,88,.398,6,24,.250,19,21,.905,9,39,13,11,1,16,12,,49,96,.510,14,45,.311,10,12,.833,15,49,36,9,10,15,14,NYK
42,42,2019-01-11,,IND,L,106,121,39,88,.443,14,39,.359,14,16,.875,8,37,22,8,5,16,18,,49,94,.521,12,26,.462,11,11,1.000,11,47,30,8,1,14,15,NYK
43,43,2019-01-13,,PHI,L,105,108,37,86,.430,10,31,.323,21,30,.700,7,34,24,8,5,10,21,,40,87,.460,6,20,.300,22,30,.733,12,56,22,4,9,16,21,NYK
44,44,2019-01-17,@,WAS,L,100,101,39,87,.448,12,29,.414,10,12,.833,6,42,15,6,3,14,16,,40,92,.435,7,27,.259,14,20,.700,15,51,23,9,2,13,10,NYK
45,45,2019-01-21,,OKC,L,109,127,39,87,.448,7,23,.304,24,32,.750,11,36,25,8,3,12,23,,45,83,.542,15,29,.517,22,27,.815,10,49,26,7,2,18,31,NYK
46,46,2019-01-23,,HOU,L,110,114,37,81,.457,11,30,.367,25,30,.833,10,48,15,5,7,18,23,,37,90,.411,11,44,.250,29,38,.763,15,44,10,15,10,12,25,NYK
47,47,2019-01-25,@,BRK,L,99,109,37,87,.425,8,31,.258,17,26,.654,6,33,17,12,11,8,31,,34,84,.405,9,33,.273,32,47,.681,18,60,19,5,2,19,21,NYK
48,48,2019-01-27,,MIA,L,97,106,36,84,.429,7,26,.269,18,24,.750,7,38,22,13,3,11,20,,39,84,.464,12,33,.364,16,18,.889,8,47,26,6,5,15,24,NYK
49,49,2019-01-28,@,CHO,L,92,101,34,85,.400,7,23,.304,17,26,.654,8,46,19,6,6,8,15,,39,94,.415,11,34,.324,12,16,.750,13,51,25,4,10,10,20,NYK
50,50,2019-01-30,,DAL,L,90,114,32,78,.410,6,26,.231,20,28,.714,5,34,16,10,5,12,15,,45,84,.536,15,38,.395,9,11,.818,7,49,31,4,1,18,19,NYK
51,51,2019-02-01,,BOS,L,99,113,39,86,.453,9,31,.290,12,12,1.000,8,48,21,2,2,17,15,,46,100,.460,13,37,.351,8,10,.800,11,43,25,11,7,7,18,NYK
52,52,2019-02-03,,MEM,L,84,96,28,74,.378,12,40,.300,16,22,.727,6,45,20,4,6,15,16,,37,91,.407,9,26,.346,13,18,.722,10,49,25,8,4,7,20,NYK
53,53,2019-02-05,,DET,L,92,105,36,90,.400,9,33,.273,11,15,.733,13,44,17,5,4,11,23,,37,79,.468,12,34,.353,19,24,.792,6,41,22,4,7,9,21,NYK
54,54,2019-02-08,@,DET,L,103,120,35,78,.449,7,22,.318,26,41,.634,10,39,22,6,5,13,23,,42,86,.488,13,30,.433,23,29,.793,11,46,24,3,6,12,27,NYK
55,55,2019-02-09,,TOR,L,99,104,39,94,.415,10,25,.400,11,19,.579,15,57,22,9,4,14,26,,33,86,.384,14,35,.400,24,29,.828,10,47,27,8,5,12,15,NYK
56,56,2019-02-11,@,CLE,L,104,107,42,92,.457,7,26,.269,13,20,.650,10,46,21,8,9,10,17,,38,95,.400,14,44,.318,17,19,.895,17,56,20,6,2,18,16,NYK
57,57,2019-02-13,,PHI,L,111,126,40,100,.400,9,29,.310,22,27,.815,14,43,27,8,4,12,27,,42,78,.538,8,23,.348,34,43,.791,6,47,33,8,7,15,24,NYK
58,58,2019-02-14,@,ATL,W,106,91,38,84,.452,12,31,.387,18,26,.692,11,52,21,9,9,14,22,,33,91,.363,10,38,.263,15,19,.789,10,41,19,8,4,12,24,NYK
59,59,2019-02-22,,MIN,L,104,115,37,86,.430,11,29,.379,19,24,.792,8,47,15,9,8,20,22,,41,87,.471,11,24,.458,22,32,.688,7,42,22,13,8,13,20,NYK
60,60,2019-02-24,,SAS,W,130,118,50,98,.510,16,37,.432,14,19,.737,12,49,25,3,7,6,27,,42,94,.447,6,24,.250,28,31,.903,14,50,18,3,4,7,20,NYK
61,61,2019-02-26,,ORL,W,108,103,38,89,.427,7,24,.292,25,32,.781,14,51,17,11,7,10,15,,39,89,.438,11,32,.344,14,20,.700,12,47,26,6,7,16,21,NYK
62,62,2019-02-28,,CLE,L,118,125,46,95,.484,11,32,.344,15,23,.652,14,40,26,4,3,8,28,,41,80,.513,14,34,.412,29,36,.806,8,40,24,5,3,11,20,NYK
63,63,2019-03-03,@,LAC,L,107,128,35,88,.398,11,29,.379,26,34,.765,9,46,23,9,9,13,19,,48,98,.490,19,35,.543,13,17,.765,9,53,33,5,4,16,28,NYK
64,64,2019-03-04,@,SAC,L,108,115,39,85,.459,12,29,.414,18,28,.643,10,48,17,8,5,17,25,,39,83,.470,11,29,.379,26,33,.788,6,43,28,11,3,13,24,NYK
65,65,2019-03-06,@,PHO,L,96,107,35,77,.455,6,15,.400,20,25,.800,8,46,17,6,7,21,23,,39,81,.481,12,29,.414,17,22,.773,4,31,21,11,9,13,25,NYK
66,66,2019-03-09,,SAC,L,94,102,35,94,.372,10,35,.286,14,21,.667,13,58,16,3,5,9,20,,36,95,.379,12,36,.333,18,22,.818,11,53,16,5,3,7,14,NYK
67,67,2019-03-10,@,MIN,L,92,103,37,86,.430,10,25,.400,8,14,.571,10,43,20,5,8,17,14,,42,94,.447,9,30,.300,10,13,.769,9,40,22,13,10,11,16,NYK
68,68,2019-03-12,@,IND,L,98,103,35,80,.438,13,28,.464,15,18,.833,8,48,22,4,5,19,23,,37,85,.435,8,28,.286,21,29,.724,8,42,26,11,3,10,22,NYK
69,69,2019-03-15,@,SAS,L,83,109,35,86,.407,8,20,.400,5,9,.556,9,41,21,6,4,16,13,,47,88,.534,7,21,.333,8,10,.800,6,45,31,8,6,9,13,NYK
70,70,2019-03-17,,LAL,W,124,123,44,76,.579,12,26,.462,24,29,.828,10,45,24,4,5,23,26,,47,97,.485,7,27,.259,22,28,.786,15,35,26,12,5,10,21,NYK
71,71,2019-03-18,@,TOR,L,92,128,28,85,.329,8,35,.229,28,32,.875,7,36,16,8,4,13,18,,49,88,.557,17,40,.425,13,22,.591,5,50,36,5,6,14,22,NYK
72,72,2019-03-20,,UTA,L,116,137,45,86,.523,13,31,.419,13,21,.619,8,40,23,6,6,14,21,,48,85,.565,20,42,.476,21,25,.840,7,40,38,7,3,10,18,NYK
73,73,2019-03-22,,DEN,L,93,111,34,90,.378,9,32,.281,16,21,.762,8,45,20,3,5,7,15,,40,96,.417,15,38,.395,16,19,.842,17,62,24,5,5,8,15,NYK
74,74,2019-03-24,,LAC,L,113,124,41,86,.477,9,33,.273,22,25,.880,13,44,22,5,7,14,24,,38,86,.442,15,35,.429,33,37,.892,12,42,24,7,4,8,19,NYK
75,75,2019-03-28,,TOR,L,92,117,31,85,.365,6,26,.231,24,32,.750,14,54,16,3,5,16,22,,40,89,.449,20,47,.426,17,22,.773,6,44,32,8,6,8,28,NYK
76,76,2019-03-30,,MIA,L,92,100,31,77,.403,9,38,.237,21,25,.840,8,42,20,10,7,18,16,,39,90,.433,9,32,.281,13,17,.765,14,51,26,11,3,18,21,NYK
77,77,2019-04-01,,CHI,W,113,105,37,74,.500,18,38,.474,21,25,.840,6,44,24,2,9,16,18,,42,94,.447,4,17,.235,17,23,.739,12,44,20,9,2,6,18,NYK
78,78,2019-04-03,@,ORL,L,100,114,38,85,.447,6,27,.222,18,21,.857,8,39,21,10,5,12,18,,45,99,.455,11,32,.344,13,20,.650,19,55,29,5,7,13,16,NYK
79,79,2019-04-05,@,HOU,L,96,120,37,82,.451,6,27,.222,16,27,.593,5,53,22,3,6,15,17,,43,101,.426,22,59,.373,12,17,.706,7,48,26,8,2,6,21,NYK
80,80,2019-04-07,,WAS,W,113,110,41,80,.513,17,34,.500,14,19,.737,7,43,24,5,9,15,14,,43,103,.417,10,34,.294,14,18,.778,21,50,24,12,4,8,16,NYK
81,81,2019-04-09,@,CHI,W,96,86,37,93,.398,14,40,.350,8,13,.615,11,61,17,0,10,9,16,,30,83,.361,7,22,.318,19,29,.655,6,50,14,7,4,7,18,NYK
82,82,2019-04-10,,DET,L,89,115,31,77,.403,9,30,.300,18,25,.720,4,33,23,7,5,11,17,,41,85,.482,14,33,.424,19,20,.950,11,56,25,5,2,13,23,NYK
