Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team
3,3,2018-10-23,,LAC,W,116,109,40,93,.430,6,24,.250,30,40,.750,12,48,22,12,8,8,24,,41,87,.471,5,20,.250,22,27,.815,9,47,18,5,4,16,26,NOP
4,4,2018-10-26,,BRK,W,117,115,44,98,.449,9,23,.391,20,26,.769,15,46,23,11,11,11,20,,43,98,.439,19,40,.475,10,15,.667,16,54,26,6,8,18,22,NOP
5,5,2018-10-27,,UTA,L,111,132,40,95,.421,9,34,.265,22,29,.759,11,40,22,4,5,16,32,,46,88,.523,10,32,.313,30,37,.811,6,43,32,7,7,13,26,NOP
6,6,2018-10-29,@,DEN,L,111,116,43,82,.524,11,24,.458,14,20,.700,7,44,28,8,5,22,25,,42,93,.452,11,35,.314,21,23,.913,9,41,28,14,5,13,17,NOP
7,7,2018-10-31,@,GSW,L,121,131,44,92,.478,12,35,.343,21,27,.778,12,42,24,8,2,15,26,,47,89,.528,16,32,.500,21,30,.700,12,46,39,10,4,17,24,NOP
8,8,2018-11-01,@,POR,L,119,132,40,94,.426,8,29,.276,31,37,.838,14,44,23,7,3,12,24,,44,87,.506,18,35,.514,26,31,.839,8,46,26,4,4,14,30,NOP
9,9,2018-11-03,@,SAS,L,95,109,36,77,.468,6,21,.286,17,30,.567,6,48,22,3,8,16,21,,45,96,.469,8,23,.348,11,14,.786,8,43,29,8,4,9,21,NOP
10,10,2018-11-05,@,OKC,L,116,122,41,84,.488,9,29,.310,25,30,.833,11,45,27,8,5,20,26,,45,93,.484,10,27,.370,22,31,.710,9,41,26,15,3,12,23,NOP
11,11,2018-11-07,,CHI,W,107,98,42,94,.447,11,30,.367,12,17,.706,11,55,32,5,10,15,18,,38,96,.396,9,31,.290,13,17,.765,7,46,18,9,7,11,16,NOP
12,12,2018-11-10,,PHO,W,119,99,42,86,.488,11,25,.440,24,29,.828,16,54,28,7,7,18,18,,35,86,.407,10,36,.278,19,20,.950,10,37,16,10,7,14,27,NOP
13,13,2018-11-12,@,TOR,W,126,110,54,99,.545,10,27,.370,8,13,.615,14,54,30,2,4,13,20,,39,97,.402,13,45,.289,19,22,.864,13,43,22,9,5,10,20,NOP
14,14,2018-11-14,@,MIN,L,100,107,40,94,.426,9,28,.321,11,18,.611,10,46,25,7,6,18,21,,37,90,.411,14,32,.438,19,24,.792,11,47,29,14,6,15,22,NOP
15,15,2018-11-16,,NYK,W,129,124,48,99,.485,10,34,.294,23,32,.719,11,54,27,5,5,15,25,,48,98,.490,11,34,.324,17,24,.708,12,44,15,10,6,13,31,NOP
16,16,2018-11-17,,DEN,W,125,115,42,87,.483,10,25,.400,31,34,.912,10,46,29,6,8,11,18,,46,95,.484,15,39,.385,8,13,.615,10,43,30,5,6,13,23,NOP
17,17,2018-11-19,,SAS,W,140,126,59,102,.578,10,26,.385,12,14,.857,14,42,34,10,5,10,23,,45,94,.479,12,24,.500,24,30,.800,18,44,22,7,0,15,20,NOP
18,18,2018-11-21,@,PHI,L,120,121,42,98,.429,11,30,.367,25,33,.758,20,54,24,8,8,15,21,,44,98,.449,10,29,.345,23,26,.885,11,47,27,7,7,16,26,NOP
19,19,2018-11-23,@,NYK,L,109,114,40,101,.396,7,28,.250,22,29,.759,20,55,26,5,5,14,22,,41,91,.451,12,33,.364,20,27,.741,12,46,22,9,10,8,26,NOP
20,20,2018-11-24,@,WAS,L,114,124,43,90,.478,11,31,.355,17,21,.810,7,43,23,10,3,16,21,,51,90,.567,10,29,.345,12,23,.522,5,45,30,12,9,14,16,NOP
21,21,2018-11-26,,BOS,L,107,124,34,77,.442,12,32,.375,27,29,.931,9,40,21,8,5,22,20,,48,97,.495,19,39,.487,9,10,.900,14,42,27,14,4,13,25,NOP
22,22,2018-11-28,,WAS,W,125,104,46,95,.484,11,36,.306,22,28,.786,17,64,24,10,5,20,20,,41,95,.432,13,39,.333,9,16,.563,12,38,26,12,2,16,22,NOP
23,23,2018-11-30,@,MIA,L,101,106,35,82,.427,6,28,.214,25,29,.862,11,46,25,4,8,16,22,,40,93,.430,11,33,.333,15,24,.625,13,46,22,10,4,10,24,NOP
24,24,2018-12-02,@,CHO,W,119,109,44,86,.512,11,32,.344,20,24,.833,9,50,30,6,5,17,25,,39,91,.429,10,36,.278,21,28,.750,11,41,25,9,6,11,19,NOP
25,25,2018-12-03,,LAC,L,126,129,49,92,.533,13,34,.382,15,22,.682,10,35,32,10,5,7,24,,49,83,.590,8,20,.400,23,30,.767,7,39,29,4,1,12,21,NOP
26,26,2018-12-05,,DAL,W,132,106,51,92,.554,17,29,.586,13,20,.650,5,46,36,12,6,11,15,,39,91,.429,14,46,.304,14,21,.667,11,45,26,7,4,18,17,NOP
27,27,2018-12-07,,MEM,L,103,107,38,84,.452,7,29,.241,20,24,.833,10,42,25,5,5,18,25,,39,83,.470,8,19,.421,21,28,.750,10,42,30,10,7,11,25,NOP
28,28,2018-12-09,@,DET,W,116,108,42,79,.532,12,30,.400,20,23,.870,8,47,27,5,8,18,19,,43,98,.439,9,29,.310,13,24,.542,17,47,28,8,5,10,22,NOP
29,29,2018-12-10,@,BOS,L,100,113,39,87,.448,8,26,.308,14,19,.737,6,39,28,11,1,13,19,,44,90,.489,12,39,.308,13,19,.684,14,51,23,8,5,13,21,NOP
30,30,2018-12-12,,OKC,W,118,114,45,97,.464,4,18,.222,24,30,.800,17,56,29,14,3,17,27,,42,87,.483,13,43,.302,17,27,.630,9,39,23,10,6,18,27,NOP
31,31,2018-12-16,,MIA,L,96,102,35,86,.407,13,36,.361,13,17,.765,11,38,26,12,5,10,22,,38,91,.418,10,35,.286,16,23,.696,22,57,22,6,4,18,21,NOP
32,32,2018-12-19,@,MIL,L,115,123,43,92,.467,19,42,.452,10,15,.667,7,41,28,6,7,15,22,,43,85,.506,13,33,.394,24,30,.800,9,48,26,11,3,14,18,NOP
33,33,2018-12-21,@,LAL,L,104,112,44,102,.431,8,27,.296,8,16,.500,14,53,27,8,6,12,24,,43,92,.467,8,32,.250,18,25,.720,8,48,28,7,4,12,17,NOP
34,34,2018-12-23,@,SAC,L,117,122,44,94,.468,6,26,.231,23,28,.821,12,58,26,6,9,12,29,,42,100,.420,14,31,.452,24,33,.727,12,50,26,9,4,9,21,NOP
35,35,2018-12-26,@,DAL,L,119,122,42,90,.467,12,27,.444,23,30,.767,7,39,25,4,2,10,27,,39,81,.481,12,35,.343,32,38,.842,8,46,23,3,13,12,25,NOP
36,36,2018-12-28,,DAL,W,114,112,44,96,.458,4,23,.174,22,27,.815,20,49,22,7,4,11,28,,37,78,.474,15,32,.469,23,33,.697,11,39,19,7,6,16,22,NOP
