Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Team,DRB
58,58,2019-02-23,,DET,L,96,119,35,0.2407407407407407,0.39814814814814803,7,0.28260869565217395,0.2309417040358745,19,0.5238095238095237,0.598371777476255,0.35,33,0.23076923076923073,0.30000000000000004,0.3157894736842105,0.4347826086956521,0.44827586206896547,,42,80,0.525,14,33,0.424,21,26,0.808,7,41,21,6,5,14,24,MIA,0.10344827586206895
59,59,2019-02-25,,PHO,L,121,124,48,0.5185185185185186,0.6080246913580246,9,0.30434782608695654,0.36547085201793733,16,0.3571428571428571,0.7286295793758482,0.6000000000000001,44,0.7307692307692307,0.5,0.21052631578947367,0.4782608695652174,0.37931034482758624,,45,89,0.506,13,32,0.406,21,25,0.84,7,39,30,9,1,14,20,MIA,0.31034482758620696
60,60,2019-02-27,,GSW,W,126,125,42,0.2592592592592593,0.6419753086419754,18,0.5652173913043478,0.6547085201793723,24,0.5952380952380951,0.7286295793758482,0.5000000000000001,48,0.3076923076923077,0.2,0.3157894736842105,0.4347826086956521,0.7586206896551724,,44,89,0.494,17,48,0.354,20,28,0.714,8,37,21,7,3,8,21,MIA,0.5172413793103449
61,61,2019-02-28,@,HOU,L,118,121,42,0.22222222222222232,0.6820987654320988,15,0.28260869565217395,0.8721973094170405,19,0.45238095238095233,0.7177747625508819,0.30000000000000004,34,0.6153846153846155,0.45,0.10526315789473684,0.4782608695652174,0.44827586206896547,,38,77,0.494,19,46,0.413,26,28,0.929,8,36,22,6,5,15,21,MIA,0.1724137931034483
62,62,2019-03-02,,BRK,W,117,88,44,0.38888888888888884,0.5895061728395062,14,0.4130434782608695,0.594170403587444,15,0.40476190476190466,0.5685210312075984,0.45000000000000007,57,0.923076923076923,0.25,0.47368421052631576,0.34782608695652173,0.3448275862068965,,31,88,0.352,9,42,0.214,17,22,0.773,7,36,20,6,6,11,14,MIA,0.8620689655172414
63,63,2019-03-04,,ATL,W,114,113,44,0.18518518518518512,0.7993827160493828,9,0.17391304347826086,0.547085201793722,17,0.45238095238095233,0.603799185888738,0.25,40,0.42307692307692313,0.45,0.3684210526315789,0.6521739130434782,0.5172413793103448,,38,91,0.418,17,46,0.37,20,25,0.8,16,42,25,9,2,14,21,MIA,0.4137931034482759
64,64,2019-03-06,@,CHO,W,91,84,38,0.38888888888888884,0.3827160493827161,9,0.23913043478260865,0.4461883408071749,6,0.14285714285714282,0.3826322930800543,0.7500000000000001,51,0.2692307692307693,0.5,0.3684210526315789,0.6521739130434782,0.24137931034482757,,30,82,0.366,14,36,0.389,10,15,0.667,10,40,22,7,4,19,19,MIA,0.4482758620689654
65,65,2019-03-08,,CLE,W,126,110,45,0.18518518518518512,0.839506172839506,12,0.21739130434782605,0.7466367713004485,24,0.6666666666666666,0.6295793758480325,0.6000000000000001,45,0.7307692307692307,0.25,0.2631578947368421,0.3913043478260869,0.20689655172413796,,39,81,0.481,19,43,0.442,13,16,0.813,6,28,28,6,1,15,25,MIA,0.34482758620689646
66,66,2019-03-10,,TOR,L,104,125,42,0.42592592592592604,0.4907407407407408,8,0.26086956521739124,0.33408071748878926,12,0.38095238095238093,0.4179104477611939,0.35,36,0.576923076923077,0.65,0.0,0.4347826086956521,0.44827586206896547,,42,74,0.568,21,40,0.525,20,26,0.769,6,44,32,8,8,19,23,MIA,0.2068965517241379
67,67,2019-03-13,,DET,W,108,74,39,0.2777777777777777,0.5123456790123458,11,0.28260869565217395,0.5515695067264574,19,0.45238095238095233,0.7177747625508819,0.55,51,0.3846153846153847,0.5,0.2631578947368421,0.34782608695652173,0.3103448275862069,,27,77,0.351,8,37,0.216,12,18,0.667,10,37,20,7,7,17,23,MIA,0.5862068965517241
68,68,2019-03-15,,MIL,L,98,113,38,0.4444444444444444,0.34259259259259245,8,0.15217391304347827,0.48654708520179374,14,0.47619047619047616,0.4029850746268657,0.4,45,0.34615384615384615,0.35000000000000003,0.2631578947368421,0.3913043478260869,0.3103448275862069,,42,88,0.477,12,33,0.364,17,24,0.708,8,52,29,8,9,15,21,MIA,0.48275862068965514
69,69,2019-03-17,,CHO,W,93,75,34,0.3148148148148149,0.2993827160493828,13,0.3913043478260869,0.5538116591928253,12,0.33333333333333326,0.5006784260515603,0.65,55,0.5,0.30000000000000004,0.3684210526315789,0.34782608695652173,0.41379310344827586,,26,83,0.313,7,36,0.194,16,18,0.889,11,44,11,6,5,12,19,MIA,0.6551724137931035
