Rk,G,Date,Unnamed: 3_level_1,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 24_level_1,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Team,DRB
14,14,2018-11-14,@,MIN,L,100,107,40,0.462962962962963,0.3950617283950616,9,0.28260869565217395,0.39013452914798213,11,0.30952380952380953,0.4721845318860244,0.4,46,0.5,0.35000000000000003,0.3157894736842105,0.6521739130434782,0.41379310344827586,,37,90,0.411,14,32,0.438,19,24,0.792,11,47,29,14,6,15,22,NOP,0.5172413793103449
15,15,2018-11-16,,NYK,W,129,124,48,0.5555555555555556,0.5771604938271605,10,0.4130434782608695,0.3295964125560538,23,0.6428571428571428,0.6187245590230664,0.45000000000000007,54,0.576923076923077,0.25,0.2631578947368421,0.5217391304347826,0.5517241379310345,,48,98,0.49,11,34,0.324,17,24,0.708,12,44,15,10,6,13,31,NOP,0.7586206896551725
16,16,2018-11-17,,DEN,W,125,115,42,0.33333333333333326,0.5709876543209876,10,0.21739130434782605,0.5672645739910316,31,0.6904761904761905,0.8805970149253732,0.4,46,0.6538461538461539,0.30000000000000004,0.42105263157894735,0.34782608695652173,0.3103448275862069,,46,95,0.484,15,39,0.385,8,13,0.615,10,43,30,5,6,13,23,NOP,0.5172413793103449
17,17,2018-11-19,,SAS,W,140,126,59,0.6111111111111112,0.8641975308641975,10,0.23913043478260865,0.5336322869955159,12,0.21428571428571427,0.8059701492537312,0.6000000000000001,42,0.8461538461538461,0.5,0.2631578947368421,0.30434782608695654,0.4827586206896552,,45,94,0.479,12,24,0.5,24,30,0.8,18,44,22,7,0,15,20,NOP,0.2413793103448275
18,18,2018-11-21,@,PHI,L,120,121,42,0.537037037037037,0.4043209876543209,11,0.32608695652173914,0.4932735426008969,25,0.6666666666666666,0.6716417910447761,0.9,54,0.46153846153846156,0.4,0.42105263157894735,0.5217391304347826,0.41379310344827586,,44,98,0.449,10,29,0.345,23,26,0.885,11,47,27,7,7,16,26,NOP,0.4482758620689654
19,19,2018-11-23,@,NYK,L,109,114,40,0.5925925925925926,0.30246913580246926,7,0.28260869565217395,0.2309417040358745,22,0.5714285714285714,0.6729986431478969,0.9,55,0.5384615384615384,0.25,0.2631578947368421,0.4782608695652174,0.44827586206896547,,41,91,0.451,12,33,0.364,20,27,0.741,12,46,22,9,10,8,26,NOP,0.48275862068965514
20,20,2018-11-24,@,WAS,L,114,124,43,0.38888888888888884,0.5555555555555555,11,0.34782608695652173,0.4663677130044844,17,0.38095238095238093,0.7421981004070557,0.25,43,0.42307692307692313,0.5,0.15789473684210525,0.5652173913043478,0.41379310344827586,,51,90,0.567,10,29,0.345,12,23,0.522,5,45,30,12,9,14,16,NOP,0.5172413793103449
21,21,2018-11-26,,BOS,L,107,124,34,0.14814814814814814,0.44444444444444453,12,0.3695652173913043,0.5112107623318387,27,0.5714285714285714,0.9063772048846677,0.35,40,0.34615384615384615,0.4,0.2631578947368421,0.8260869565217391,0.37931034482758624,,48,97,0.495,19,39,0.487,9,10,0.9,14,42,27,14,4,13,25,NOP,0.34482758620689646
22,22,2018-11-28,,WAS,W,125,104,46,0.4814814814814814,0.5740740740740741,11,0.4565217391304347,0.35650224215246645,22,0.5476190476190476,0.7096336499321574,0.7500000000000001,64,0.46153846153846156,0.5,0.2631578947368421,0.7391304347826086,0.37931034482758624,,41,95,0.432,13,39,0.333,9,16,0.563,12,38,26,12,2,16,22,NOP,0.8965517241379309
23,23,2018-11-30,@,MIA,L,101,106,35,0.2407407407407407,0.39814814814814803,6,0.28260869565217395,0.15022421524663682,25,0.5714285714285714,0.8127544097693351,0.45000000000000007,46,0.5,0.2,0.42105263157894735,0.5652173913043478,0.44827586206896547,,40,93,0.43,11,33,0.333,15,24,0.625,13,46,22,10,4,10,24,NOP,0.48275862068965514
24,24,2018-12-02,@,CHO,W,119,109,44,0.3148148148148149,0.6604938271604938,11,0.3695652173913043,0.44170403587443946,20,0.45238095238095233,0.7734056987788331,0.35,50,0.6923076923076924,0.30000000000000004,0.2631578947368421,0.608695652173913,0.5517241379310345,,39,91,0.429,10,36,0.278,21,28,0.75,11,41,25,9,6,11,19,NOP,0.689655172413793
25,25,2018-12-03,,LAC,L,126,129,49,0.42592592592592604,0.7253086419753086,13,0.4130434782608695,0.5269058295964126,15,0.40476190476190466,0.5685210312075984,0.4,35,0.7692307692307693,0.5,0.2631578947368421,0.1739130434782609,0.5172413793103448,,49,83,0.59,8,20,0.4,23,30,0.767,7,39,29,4,1,12,21,NOP,0.13793103448275856
26,26,2018-12-05,,DAL,W,132,106,51,0.42592592592592604,0.7901234567901235,17,0.30434782608695654,0.9843049327354261,13,0.3571428571428571,0.5251017639077341,0.15,46,0.923076923076923,0.6000000000000001,0.3157894736842105,0.34782608695652173,0.20689655172413796,,39,91,0.429,14,46,0.304,14,21,0.667,11,45,26,7,4,18,17,NOP,0.689655172413793
27,27,2018-12-07,,MEM,L,103,107,38,0.2777777777777777,0.47530864197530864,7,0.30434782608695654,0.21076233183856502,20,0.45238095238095233,0.7734056987788331,0.4,42,0.5,0.25,0.2631578947368421,0.6521739130434782,0.5517241379310345,,39,83,0.47,8,19,0.421,21,28,0.75,10,42,30,10,7,11,25,NOP,0.3793103448275862
28,28,2018-12-09,@,DET,W,116,108,42,0.18518518518518512,0.7222222222222222,12,0.32608695652173914,0.5672645739910316,20,0.4285714285714285,0.8236092265943011,0.30000000000000004,47,0.576923076923077,0.25,0.42105263157894735,0.6521739130434782,0.3448275862068965,,43,98,0.439,9,29,0.31,13,24,0.542,17,47,28,8,5,10,22,NOP,0.6206896551724138
29,29,2018-12-10,@,BOS,L,100,113,39,0.33333333333333326,0.4629629629629629,8,0.23913043478260865,0.3609865470852019,14,0.33333333333333326,0.6431478968792401,0.20000000000000004,39,0.6153846153846155,0.55,0.05263157894736842,0.4347826086956521,0.3448275862068965,,44,90,0.489,12,39,0.308,13,19,0.684,14,51,23,8,5,13,21,NOP,0.4137931034482759
30,30,2018-12-12,,OKC,W,118,114,45,0.5185185185185186,0.5123456790123458,4,0.06521739130434778,0.16816143497757852,24,0.5952380952380951,0.7286295793758482,0.7500000000000001,56,0.6538461538461539,0.7000000000000001,0.15789473684210525,0.608695652173913,0.6206896551724137,,42,87,0.483,13,43,0.302,17,27,0.63,9,39,23,10,6,18,27,NOP,0.6206896551724138
31,31,2018-12-16,,MIA,L,96,102,35,0.3148148148148149,0.3364197530864196,13,0.4565217391304347,0.4798206278026907,13,0.2857142857142857,0.6811397557666214,0.45000000000000007,38,0.5384615384615384,0.6000000000000001,0.2631578947368421,0.30434782608695654,0.44827586206896547,,38,91,0.418,10,35,0.286,16,23,0.696,22,57,22,6,4,18,21,NOP,0.2068965517241379
32,32,2018-12-19,@,MIL,L,115,123,43,0.42592592592592604,0.5216049382716049,19,0.5869565217391304,0.6838565022421526,10,0.23809523809523805,0.548168249660787,0.25,41,0.6153846153846155,0.30000000000000004,0.3684210526315789,0.5217391304347826,0.44827586206896547,,43,85,0.506,13,33,0.394,24,30,0.8,9,48,26,11,3,14,18,NOP,0.4482758620689654
33,33,2018-12-21,@,LAL,L,104,112,44,0.6111111111111112,0.41049382716049376,8,0.26086956521739124,0.33408071748878926,8,0.26190476190476186,0.32157394843962006,0.6000000000000001,53,0.576923076923077,0.4,0.3157894736842105,0.3913043478260869,0.5172413793103448,,43,92,0.467,8,32,0.25,18,25,0.72,8,48,28,7,4,12,17,NOP,0.6206896551724138
34,34,2018-12-23,@,SAC,L,117,122,44,0.462962962962963,0.5246913580246914,6,0.23913043478260865,0.18834080717488794,23,0.5476190476190476,0.7571234735413839,0.5000000000000001,58,0.5384615384615384,0.30000000000000004,0.47368421052631576,0.3913043478260869,0.6896551724137931,,42,100,0.42,14,31,0.452,24,33,0.727,12,50,26,9,4,9,21,NOP,0.8620689655172414
35,35,2018-12-26,@,DAL,L,119,122,42,0.38888888888888884,0.5216049382716049,12,0.26086956521739124,0.6659192825112108,23,0.5952380952380951,0.683853459972863,0.25,39,0.5,0.2,0.10526315789473684,0.30434782608695654,0.6206896551724137,,39,81,0.481,12,35,0.343,32,38,0.842,8,46,23,3,13,12,25,NOP,0.3793103448275862
36,36,2018-12-28,,DAL,W,114,112,44,0.5,0.49382716049382724,4,0.17391304347826086,0.06053811659192826,22,0.5238095238095237,0.7489823609226594,0.9,49,0.3846153846153847,0.35000000000000003,0.21052631578947367,0.34782608695652173,0.6551724137931034,,37,78,0.474,15,32,0.469,23,33,0.697,11,39,19,7,6,16,22,NOP,0.27586206896551724
37,37,2018-12-29,,HOU,L,104,108,41,0.42592592592592604,0.45679012345679004,9,0.28260869565217395,0.39013452914798213,13,0.2857142857142857,0.6811397557666214,0.30000000000000004,45,0.5,0.35000000000000003,0.2631578947368421,0.4782608695652174,0.4827586206896552,,35,81,0.432,16,46,0.348,22,28,0.786,8,39,21,9,7,12,20,NOP,0.5517241379310344
38,38,2018-12-31,,MIN,W,123,114,45,0.33333333333333326,0.6759259259259259,14,0.21739130434782605,0.9260089686098658,19,0.38095238095238093,0.8710990502035278,0.45000000000000007,44,0.6153846153846155,0.15000000000000002,0.10526315789473684,0.5217391304347826,0.41379310344827586,,43,93,0.462,9,28,0.321,19,23,0.826,12,39,29,10,9,7,18,NOP,0.4137931034482759
39,39,2019-01-02,@,BRK,L,121,126,46,0.33333333333333326,0.7129629629629631,10,0.17391304347826086,0.6457399103139014,19,0.5238095238095237,0.598371777476255,0.4,41,0.2692307692307693,0.35000000000000003,0.2631578947368421,0.3913043478260869,0.37931034482758624,,47,93,0.505,16,31,0.516,16,21,0.762,12,43,27,7,5,10,23,NOP,0.34482758620689646
40,40,2019-01-05,@,CLE,W,133,98,47,0.22222222222222232,0.8703703703703701,14,0.26086956521739124,0.8340807174887894,25,0.5714285714285714,0.8127544097693351,0.4,44,0.6538461538461539,0.65,0.3684210526315789,0.4782608695652174,0.3103448275862069,,36,88,0.409,12,33,0.364,14,18,0.778,10,34,22,12,3,17,23,NOP,0.4482758620689654
41,41,2019-01-07,,MEM,W,114,95,44,0.18518518518518512,0.7993827160493828,6,0.04347826086956519,0.46188340807174894,20,0.5714285714285714,0.5793758480325644,0.15,40,0.576923076923077,0.65,0.21052631578947367,0.4782608695652174,0.3103448275862069,,35,78,0.449,10,30,0.333,15,18,0.833,6,36,28,5,7,18,23,NOP,0.48275862068965514
42,42,2019-01-09,,CLE,W,140,124,46,0.2777777777777777,0.7716049382716051,12,0.30434782608695654,0.5986547085201794,36,0.8095238095238094,0.8955223880597016,0.45000000000000007,44,0.8076923076923078,0.35000000000000003,0.3684210526315789,0.5652173913043478,0.41379310344827586,,42,88,0.477,14,30,0.467,26,30,0.867,9,31,27,7,3,13,30,NOP,0.4137931034482759
43,43,2019-01-12,@,MIN,L,106,110,40,0.33333333333333326,0.5000000000000001,5,0.19565217391304346,0.1367713004484305,21,0.45238095238095233,0.830393487109905,0.4,48,0.3846153846153847,0.35000000000000003,0.42105263157894735,0.5217391304347826,0.37931034482758624,,40,93,0.43,11,39,0.282,19,24,0.792,15,50,23,7,5,13,20,NOP,0.5862068965517241
44,44,2019-01-14,@,LAC,W,121,117,46,0.6666666666666667,0.4320987654320988,8,0.21739130434782605,0.3878923766816144,21,0.5476190476190476,0.66078697421981,0.65,49,0.6153846153846155,0.4,0.3684210526315789,0.13043478260869565,0.3448275862068965,,41,86,0.477,18,36,0.5,17,24,0.708,8,50,34,4,7,16,21,NOP,0.4482758620689654
45,45,2019-01-16,@,GSW,L,140,147,47,0.537037037037037,0.5617283950617283,19,0.4782608695652174,0.8228699551569509,27,0.6666666666666666,0.7530529172320217,0.25,49,0.923076923076923,0.30000000000000004,0.2631578947368421,0.30434782608695654,0.4827586206896552,,49,102,0.48,24,49,0.49,25,31,0.806,10,57,33,8,5,10,24,NOP,0.7241379310344828
46,46,2019-01-18,@,POR,L,112,128,41,0.2777777777777777,0.5864197530864198,8,0.21739130434782605,0.3878923766816144,22,0.5238095238095237,0.7489823609226594,0.25,41,0.42307692307692313,0.2,0.3157894736842105,0.3913043478260869,0.5172413793103448,,48,103,0.466,11,34,0.324,21,26,0.808,18,53,30,8,3,6,22,NOP,0.4482758620689654
47,47,2019-01-21,@,MEM,W,105,85,39,0.09259259259259256,0.7067901234567903,9,0.23913043478260865,0.4461883408071749,18,0.5,0.5820895522388059,0.25,50,0.2692307692307693,0.4,0.3684210526315789,0.6956521739130435,0.2758620689655172,,33,88,0.375,9,35,0.257,10,17,0.588,10,35,21,10,1,11,19,NOP,0.7586206896551725
48,48,2019-01-23,,DET,L,94,98,42,0.40740740740740744,0.506172839506173,6,0.15217391304347827,0.28251121076233193,4,0.09523809523809523,0.24559023066485752,0.30000000000000004,49,0.3076923076923077,0.15000000000000002,0.47368421052631576,0.3913043478260869,0.3103448275862069,,36,89,0.404,13,39,0.333,13,19,0.684,9,49,24,5,3,9,15,NOP,0.689655172413793
49,49,2019-01-24,@,OKC,L,116,122,49,0.5925925925925926,0.5771604938271605,10,0.4565217391304347,0.29372197309417053,8,0.16666666666666666,0.548168249660787,0.30000000000000004,42,0.8461538461538461,0.35000000000000003,0.3157894736842105,0.3913043478260869,0.24137931034482757,,50,101,0.495,14,32,0.438,8,16,0.5,14,57,33,8,2,14,15,NOP,0.4482758620689654
50,50,2019-01-26,,SAS,L,114,126,45,0.5,0.5277777777777778,7,0.26086956521739124,0.25112107623318397,17,0.45238095238095233,0.603799185888738,0.4,41,0.5384615384615384,0.30000000000000004,0.3157894736842105,0.21739130434782608,0.3103448275862069,,47,91,0.516,11,24,0.458,21,25,0.84,9,51,30,5,3,9,19,NOP,0.34482758620689646
51,51,2019-01-29,@,HOU,W,121,116,46,0.38888888888888884,0.6574074074074073,9,0.34782608695652173,0.32062780269058294,20,0.47619047619047616,0.7286295793758482,0.55,55,0.576923076923077,0.4,0.47368421052631576,0.608695652173913,0.2758620689655172,,40,101,0.396,19,56,0.339,17,24,0.708,15,45,22,11,5,12,20,NOP,0.7241379310344828
52,52,2019-01-30,,DEN,L,99,105,37,0.37037037037037046,0.3641975308641975,15,0.4565217391304347,0.6053811659192825,10,0.1904761904761905,0.6865671641791045,0.30000000000000004,48,0.576923076923077,0.2,0.21052631578947367,0.4782608695652174,0.37931034482758624,,42,89,0.472,9,30,0.3,12,19,0.632,6,43,31,10,7,9,17,NOP,0.6551724137931035
53,53,2019-02-02,@,SAS,L,108,113,43,0.5,0.4629629629629629,10,0.4347826086956521,0.3116591928251122,12,0.16666666666666666,1.0,0.15,42,0.5384615384615384,0.30000000000000004,0.21052631578947367,0.21739130434782608,0.24137931034482757,,44,92,0.478,9,23,0.391,16,18,0.889,10,50,29,5,2,11,16,NOP,0.5517241379310344
54,54,2019-02-04,,IND,L,107,109,39,0.38888888888888884,0.41666666666666663,9,0.5,0.20179372197309414,20,0.45238095238095233,0.7734056987788331,0.55,55,0.5384615384615384,0.30000000000000004,0.21052631578947367,0.5652173913043478,0.3448275862068965,,41,91,0.451,10,28,0.357,17,24,0.708,8,43,25,5,3,9,17,NOP,0.7241379310344828
55,55,2019-02-06,@,CHI,W,125,120,45,0.2962962962962963,0.7129629629629631,15,0.4347826086956521,0.6322869955156951,20,0.5952380952380951,0.548168249660787,0.6000000000000001,46,0.5384615384615384,0.05,0.3157894736842105,0.34782608695652173,0.3103448275862069,,45,91,0.495,16,36,0.444,14,19,0.737,9,36,27,8,6,8,23,NOP,0.3793103448275862
56,56,2019-02-08,,MIN,W,122,117,43,0.40740740740740744,0.5401234567901233,9,0.32608695652173914,0.34304932735426014,27,0.5476190476190476,0.9511533242876526,0.30000000000000004,45,0.576923076923077,0.55,0.3684210526315789,0.34782608695652173,0.41379310344827586,,46,91,0.505,9,21,0.429,16,22,0.727,10,49,22,6,8,15,20,NOP,0.5517241379310344
57,57,2019-02-09,@,MEM,L,90,99,34,0.3148148148148149,0.2993827160493828,6,0.3913043478260869,0.07847533632286996,16,0.5238095238095237,0.4477611940298507,0.7500000000000001,52,0.5,0.30000000000000004,0.2631578947368421,0.5217391304347826,0.44827586206896547,,38,88,0.432,8,29,0.276,15,18,0.833,10,45,27,6,2,10,24,NOP,0.48275862068965514
58,58,2019-02-12,,ORL,L,88,118,36,0.462962962962963,0.2623456790123456,10,0.30434782608695654,0.4439461883408072,6,0.07142857142857142,0.66078697421981,0.30000000000000004,42,0.34615384615384615,0.25,0.42105263157894735,0.4782608695652174,0.24137931034482757,,42,95,0.442,13,32,0.406,21,22,0.955,12,58,32,9,8,10,14,NOP,0.4482758620689654
59,59,2019-02-14,,OKC,W,131,122,50,0.42592592592592604,0.756172839506173,12,0.23913043478260865,0.7062780269058297,19,0.45238095238095233,0.7177747625508819,0.55,51,0.8846153846153847,0.35000000000000003,0.3684210526315789,0.4782608695652174,0.20689655172413796,,50,106,0.472,10,44,0.227,12,13,0.923,17,48,27,8,6,13,21,NOP,0.5862068965517241
60,60,2019-02-22,@,IND,L,111,126,43,0.4444444444444444,0.506172839506173,8,0.26086956521739124,0.33408071748878926,17,0.5952380952380951,0.4124830393487109,0.6000000000000001,51,0.5,0.25,0.2631578947368421,0.608695652173913,0.5517241379310345,,44,93,0.473,14,32,0.438,24,35,0.686,13,48,28,10,5,11,24,NOP,0.5517241379310344
61,61,2019-02-23,,LAL,W,128,115,50,0.5,0.6882716049382717,15,0.5434782608695652,0.5112107623318387,13,0.26190476190476186,0.7462686567164178,0.35,41,0.7307692307692307,0.7000000000000001,0.21052631578947367,0.608695652173913,0.41379310344827586,,44,81,0.543,10,29,0.345,17,26,0.654,6,39,33,10,3,23,21,NOP,0.3793103448275862
62,62,2019-02-25,,PHI,L,110,111,44,0.6481481481481481,0.3858024691358025,5,0.28260869565217395,0.07174887892376686,17,0.45238095238095233,0.603799185888738,0.6000000000000001,54,0.6538461538461539,0.75,0.42105263157894735,0.4347826086956521,0.3448275862068965,,44,101,0.436,10,31,0.323,13,19,0.684,15,58,23,9,8,19,19,NOP,0.6551724137931035
63,63,2019-02-27,@,LAL,L,119,125,46,0.6111111111111112,0.4722222222222222,7,0.4347826086956521,0.11883408071748885,20,0.5238095238095237,0.6485753052917231,0.6000000000000001,52,0.7307692307692307,0.30000000000000004,0.15789473684210525,0.4347826086956521,0.6206896551724137,,49,94,0.521,8,25,0.32,19,31,0.613,6,39,37,7,8,8,22,NOP,0.5862068965517241
64,64,2019-03-01,@,PHO,W,130,116,50,0.33333333333333326,0.8549382716049382,16,0.26086956521739124,1.0000000000000002,14,0.3571428571428571,0.592944369063772,0.4,50,0.8461538461538461,0.65,0.21052631578947367,0.9130434782608695,0.3103448275862069,,40,94,0.426,12,34,0.353,24,28,0.857,12,39,25,17,2,19,21,NOP,0.6551724137931035
65,65,2019-03-02,@,DEN,W,120,112,45,0.42592592592592604,0.5895061728395062,12,0.32608695652173914,0.5672645739910316,18,0.5,0.5820895522388059,0.5000000000000001,47,0.6153846153846155,0.5,0.21052631578947367,0.7826086956521738,0.5517241379310345,,39,92,0.424,9,32,0.281,25,29,0.862,10,44,25,13,7,16,22,NOP,0.48275862068965514
66,66,2019-03-04,@,UTA,W,115,112,46,0.5,0.5586419753086419,9,0.10869565217391303,0.6793721973094173,14,0.30952380952380953,0.6987788331071914,0.5000000000000001,44,0.46153846153846156,0.6000000000000001,0.2631578947368421,0.21739130434782608,0.37931034482758624,,43,92,0.467,14,38,0.368,12,14,0.857,13,47,35,3,6,18,17,NOP,0.3793103448275862
67,67,2019-03-06,,UTA,L,104,114,41,0.37037037037037046,0.5030864197530865,9,0.19565217391304346,0.5112107623318387,13,0.3571428571428571,0.5251017639077341,0.25,41,0.1923076923076923,0.30000000000000004,0.21052631578947367,0.608695652173913,0.4827586206896552,,46,88,0.523,8,30,0.267,14,22,0.636,9,45,31,9,8,20,20,NOP,0.4482758620689654
68,68,2019-03-08,,TOR,L,104,127,43,0.6666666666666667,0.3456790123456789,10,0.5217391304347826,0.2443946188340808,8,0.1904761904761905,0.4776119402985074,0.6000000000000001,51,0.6153846153846155,0.55,0.0,0.608695652173913,0.10344827586206895,,53,99,0.535,13,37,0.351,8,9,0.889,7,51,31,10,12,16,14,NOP,0.5517241379310344
69,69,2019-03-10,@,ATL,L,116,128,45,0.5925925925925926,0.45679012345679004,18,0.5652173913043478,0.6547085201793723,8,0.07142857142857142,1.0,0.15,42,0.6538461538461539,0.30000000000000004,0.47368421052631576,0.21739130434782608,0.2758620689655172,,48,98,0.49,17,37,0.459,15,18,0.833,10,56,30,4,5,9,12,NOP,0.5517241379310344
70,70,2019-03-12,,MIL,L,113,130,46,0.7037037037037037,0.40740740740740733,10,0.6956521739130433,0.1479820627802691,11,0.26190476190476186,0.5766621438263229,0.55,50,0.576923076923077,0.15000000000000002,0.21052631578947367,0.5217391304347826,0.4827586206896552,,48,97,0.495,10,36,0.278,24,28,0.857,5,52,27,5,4,13,20,NOP,0.5517241379310344
71,71,2019-03-15,,POR,L,110,122,45,0.462962962962963,0.5586419753086419,8,0.32608695652173914,0.2690582959641256,12,0.47619047619047616,0.2944369063772049,0.6000000000000001,45,0.7307692307692307,0.35000000000000003,0.3157894736842105,0.34782608695652173,0.4827586206896552,,43,96,0.448,10,27,0.37,26,32,0.813,17,54,26,7,8,15,18,NOP,0.34482758620689646
72,72,2019-03-16,,PHO,L,136,138,47,0.6111111111111112,0.5030864197530865,15,0.32608695652173914,0.7914798206278029,27,0.8571428571428571,0.5373134328358209,0.8,57,0.8461538461538461,0.55,0.21052631578947367,0.8260869565217391,0.7241379310344829,,51,100,0.51,9,29,0.31,27,36,0.75,11,48,31,10,7,22,33,NOP,0.6206896551724138
73,73,2019-03-18,@,DAL,W,129,125,49,0.6481481481481481,0.5339506172839504,12,0.5217391304347826,0.3609865470852019,19,0.40476190476190466,0.8154681139755766,0.6000000000000001,55,0.8461538461538461,0.35000000000000003,0.3157894736842105,0.608695652173913,0.6551724137931034,,46,105,0.438,9,35,0.257,24,29,0.828,14,50,27,9,6,15,26,NOP,0.689655172413793
74,74,2019-03-20,@,ORL,L,96,119,38,0.6111111111111112,0.2314814814814815,10,0.4130434782608695,0.3295964125560538,10,0.1904761904761905,0.6865671641791045,0.6000000000000001,49,0.46153846153846156,0.45,0.10526315789473684,0.4347826086956521,0.20689655172413796,,46,102,0.451,15,38,0.395,12,14,0.857,20,65,28,8,10,14,14,NOP,0.48275862068965514
75,75,2019-03-24,,HOU,L,90,113,38,0.42592592592592604,0.3549382716049382,7,0.28260869565217395,0.2309417040358745,7,0.11904761904761904,0.592944369063772,0.65,44,0.5384615384615384,0.45,0.15789473684210525,0.5217391304347826,0.0,,42,86,0.488,21,49,0.429,8,9,0.889,13,50,24,10,5,17,16,NOP,0.27586206896551724
76,76,2019-03-26,,ATL,L,120,130,39,0.2592592592592593,0.530864197530864,12,0.4130434782608695,0.46188340807174894,30,0.8333333333333333,0.66078697421981,0.30000000000000004,45,0.6153846153846155,0.5,0.3157894736842105,0.9130434782608695,0.4827586206896552,,44,97,0.454,19,51,0.373,23,26,0.885,9,41,30,13,4,16,26,NOP,0.5517241379310344
77,77,2019-03-28,,SAC,W,121,118,49,0.5185185185185186,0.638888888888889,9,0.28260869565217395,0.39013452914798213,14,0.21428571428571427,1.0,0.30000000000000004,45,0.576923076923077,0.30000000000000004,0.3157894736842105,0.3913043478260869,0.24137931034482757,,47,95,0.495,10,23,0.435,14,16,0.875,8,44,28,6,10,12,19,NOP,0.5517241379310344
78,78,2019-03-31,,LAL,L,102,130,38,0.2592592592592593,0.49382716049382724,8,0.34782608695652173,0.24887892376681625,18,0.38095238095238093,0.8059701492537312,0.15,45,0.2692307692307693,0.25,0.05263157894736842,0.9130434782608695,0.24137931034482757,,48,101,0.475,15,38,0.395,19,22,0.864,11,46,30,16,5,10,20,NOP,0.6551724137931035
79,79,2019-04-03,,CHO,L,109,115,40,0.2962962962962963,0.5339506172839504,15,0.5652173913043478,0.4910313901345292,14,0.2857142857142857,0.7611940298507462,0.25,48,0.5,0.35000000000000003,0.21052631578947367,0.6956521739130435,0.6206896551724137,,38,90,0.422,12,34,0.353,27,32,0.844,11,48,19,13,5,11,15,NOP,0.689655172413793
80,80,2019-04-05,@,PHO,L,126,133,49,0.5925925925925926,0.5771604938271605,8,0.17391304347826086,0.45067264573991034,20,0.5238095238095237,0.6485753052917231,0.65,53,0.6153846153846155,0.2,0.21052631578947367,0.5217391304347826,0.41379310344827586,,51,104,0.49,14,36,0.389,17,21,0.81,13,46,27,12,11,7,18,NOP,0.5862068965517241
81,81,2019-04-07,@,SAC,W,133,129,52,0.5925925925925926,0.6697530864197531,19,0.5869565217391304,0.6838565022421526,10,0.16666666666666666,0.7734056987788331,0.6000000000000001,55,0.6153846153846155,0.2,0.5789473684210527,0.5217391304347826,0.24137931034482757,,50,109,0.459,16,40,0.4,13,17,0.765,16,47,27,10,4,6,13,NOP,0.689655172413793
82,82,2019-04-09,,GSW,L,103,112,44,0.5555555555555556,0.4506172839506174,9,0.3913043478260869,0.28251121076233193,6,0.11904761904761904,0.457259158751696,0.25,42,0.6538461538461539,0.45,0.05263157894736842,0.30434782608695654,0.20689655172413796,,43,89,0.483,12,30,0.4,14,21,0.667,11,58,25,8,3,14,17,NOP,0.48275862068965514
1,1,2018-10-17,,ATL,W,126,107,45,0.5555555555555556,0.48456790123456794,12,0.3913043478260869,0.48654708520179374,24,0.619047619047619,0.6933514246947083,0.4,46,0.34615384615384615,0.6000000000000001,0.3157894736842105,0.5217391304347826,0.4827586206896552,,41,90,0.456,10,36,0.278,15,18,0.833,7,45,19,7,3,24,30,NYK,0.5172413793103449
2,2,2018-10-19,@,BRK,L,105,107,39,0.5185185185185186,0.32098765432098764,9,0.28260869565217395,0.39013452914798213,18,0.3571428571428571,0.864314789687924,0.5000000000000001,36,0.07692307692307698,0.5,0.05263157894736842,0.0,0.3448275862068965,,37,75,0.493,12,30,0.4,21,24,0.875,12,55,22,2,6,22,23,NYK,0.10344827586206895
3,3,2018-10-20,,BOS,L,101,103,36,0.33333333333333326,0.3580246913580246,12,0.4347826086956521,0.43946188340807185,17,0.5238095238095237,0.4979647218453188,0.45000000000000007,46,0.42307692307692313,0.4,0.05263157894736842,0.5652173913043478,0.5517241379310345,,33,82,0.402,9,25,0.36,28,33,0.848,11,47,21,8,2,15,26,NYK,0.48275862068965514
4,4,2018-10-22,@,MIL,L,113,124,45,0.5555555555555556,0.48456790123456794,10,0.30434782608695654,0.4439461883408072,13,0.23809523809523805,0.819538670284939,0.45000000000000007,43,0.3846153846153847,0.30000000000000004,0.10526315789473684,0.34782608695652173,0.41379310344827586,,45,96,0.469,17,40,0.425,17,24,0.708,19,55,27,5,9,14,18,NYK,0.3793103448275862
5,5,2018-10-24,@,MIA,L,87,110,33,0.40740740740740744,0.20061728395061718,12,0.3913043478260869,0.48654708520179374,9,0.21428571428571427,0.5156037991858887,0.4,45,0.3076923076923077,0.25,0.15789473684210525,0.3913043478260869,0.4827586206896552,,39,82,0.476,13,29,0.448,19,28,0.679,4,51,24,7,5,13,15,NYK,0.48275862068965514
6,6,2018-10-26,,GSW,L,100,128,39,0.38888888888888884,0.41666666666666663,13,0.5217391304347826,0.41704035874439477,9,0.16666666666666666,0.66078697421981,0.45000000000000007,40,0.1923076923076923,0.30000000000000004,0.05263157894736842,0.6956521739130435,0.3103448275862069,,51,87,0.586,16,33,0.485,10,12,0.833,6,39,26,10,6,14,16,NYK,0.27586206896551724
